location,Base Tariff (cents/kWh),Final Per Unit Cost (cents/kWh)
9,6.47,5.94
5,19.88,20.71
3,7.58,4.46
8,16.94,18.06
6,14.51,20.77
9,6.98,3.64
3,11.97,14.98
3,18.59,22.66
4,10.18,7.99
2,11.72,10.2
0,8.09,6.3
3,17.34,23.46
2,14.07,13.27
4,12.46,17.36
2,5.34,4.42
4,14.96,14.02
0,9.15,11.06
5,7.51,9.23
9,16.23,11.63
6,14.54,16.38
6,5.56,4.07
4,12.16,11.25
8,10.28,11.54
7,13.99,18.57
3,17.51,19
7,10.42,11.25
9,19.92,18.27
5,15.82,18.78
9,5.12,10.24
2,5.05,4.76
6,17.73,18.31
3,16.17,14.66
8,12.35,15.05
1,10.98,14.63
5,12.32,14.66
6,5.88,9.44
1,14.06,11.65
3,7.63,8.66
8,9.32,12.21
1,13.04,14.33
3,15.93,15.95
0,7.58,4.51
3,12.56,11.2
9,8.73,12.33
3,11.52,13.46
0,15.45,14.18
8,9.38,9.29
2,7.8,9.97
0,5.35,5.9
9,19.4,19.47
4,18.38,18.18
2,7.71,7.17
6,11.83,11.48
2,19,19.28
3,15.03,13.86
3,15.08,13.01
9,19.47,16.57
0,17.33,16.88
9,10.44,6.06
3,16.09,15.44
6,17.58,19.8
4,13.79,15.18
6,5.16,11.06
4,18.92,18.89
0,5.63,3
2,9.31,7.92
3,13.34,13.21
1,15.21,15.12
4,5.71,10.48
9,8.14,7.67
0,16.24,16.05
4,14.6,13.72
7,17.54,17.3
7,17.3,17.85
7,7.54,13.86
4,14.06,12.35
3,18.2,20.58
4,11.16,14.07
4,5.69,3
2,19.98,23.55
1,8.1,7.61
1,15.12,17.32
8,8.19,9.55
0,12.71,16.33
4,15.51,18.31
5,16.53,19.13
1,8.85,12.59
3,9.36,7.84
4,11.18,13.08
8,15.22,17.08
6,7.36,8.04
5,12.54,13.8
3,17.69,17.87
1,15.68,17.56
9,5.1,10.91
7,18.36,20.25
1,15.19,12.63
5,18.22,18.43
1,7.09,6.64
4,17.01,22.48
0,12.51,16.58
3,16.21,19.09
8,7.9,8.3
9,19.87,26.17
7,14.19,16.05
3,16.45,22.06
6,5.05,3.69
4,6.67,5.26
6,13.03,11.89
9,5.25,3.74
2,16.1,18.5
2,17.14,13.81
7,5.26,11.43
3,7.79,7.33
6,13.53,16.29
5,9.2,10.86
3,15.53,14.85
7,16.91,18.95
7,17.56,20.45
2,9.93,7.08
9,13.29,11.5
6,13.09,13.8
5,9.44,8.28
3,16.77,18.37
9,5.84,4.18
1,8.37,5.87
2,8.31,10.73
5,14.52,16.14
3,10.84,11.45
7,18.09,20.18
1,19.42,15.84
0,17.19,17.79
9,5.87,6.46
5,6.34,10.28
2,11.42,14.69
2,10.6,9.62
9,11.6,10.34
5,16.46,19.1
1,18.32,17.32
1,11.74,9.07
5,16.71,17.44
6,19.78,23.47
2,7.83,9.4
1,16.37,16.77
5,9.46,11.43
3,10.93,15.98
6,10.41,11.6
1,18.4,21.27
8,17.13,21.38
0,10.83,10.29
7,6.57,9.71
7,14.7,16.57
4,13.57,11.93
6,12.01,13.83
6,19.42,21.44
6,6.02,10.11
7,9.11,8.97
9,16.21,16.72
8,10.27,11.91
0,8.85,9.83
9,5.29,9.44
4,15.05,13.78
6,10.89,9.36
8,14,17.55
5,16.51,19.69
0,7,12.91
0,7.24,6.74
4,9.04,10.68
1,15.69,18.98
7,14.61,16.18
2,12.09,8.55
1,14.34,15.68
4,5.58,5.24
9,11.72,15.89
5,6.77,5.33
5,13.29,17.07
8,18.87,20.85
4,10.29,9.33
5,8.66,9.99
2,19.73,23.02
5,18.43,24.73
3,11.98,11.72
8,11.43,14.34
8,13.37,17.76
4,7.32,10.48
8,5.92,3
1,11.58,16.75
3,17.79,18.41
6,14.48,16.53
5,9.5,12.36
7,7.45,8.1
1,15.49,14.97
3,12.32,15.54
0,6.08,10.32
6,17.66,22.85
5,10.73,11.92
4,16.97,21.72
3,17.64,19.15
6,5.66,5.66
5,15.37,14.59
0,12.18,17.4
4,13.18,12.21
4,18.38,19.08
8,8.39,5.98
3,11.95,11.09
8,12.2,15.47
4,9.05,8.72
0,16.37,16.48
9,13.03,9.72
3,18.66,17.22
9,15.15,15.24
7,8.33,10.97
9,9.5,9.67
9,11.25,13.7
0,12.02,15.93
2,8.96,12.01
3,12.58,11.84
7,7.37,11.33
0,11.01,8.25
2,5.48,6.53
1,6.37,5.31
0,9.34,7.93
9,18.99,24.25
6,9.6,13.29
2,16.88,17.77
6,12.02,10.56
0,16.05,16.28
4,5.12,8.81
2,19.36,17.86
