consumer_number,family_members,working_members,ages,units_consumed,cost_per_unit,usage_hours,Power_Rating_W,Units_Consumed_Per_Hour_kWh,Base Tariff (cents/kWh),Final Per Unit Cost (cents/kWh),max_length,appliance_name_encoded,location_encoded,name_encoded,email_encoded,password_encoded,month_encoded,energy_consumption
10081,5,4,46,232,7,2.7,67.5,0.0675,19.88,20.71,2,5,7,307,337,284,8,1624
10081,5,4,46,232,7,11.1,67.5,0.0675,19.88,20.71,2,7,7,307,337,284,8,1624
10177,3,1,48,254,8,17.1,356.6666667,0.356666667,7.58,4.46,4,3,5,374,433,102,11,2032
10177,3,1,48,254,8,19,356.6666667,0.356666667,7.58,4.46,4,8,5,374,433,102,11,2032
10177,3,1,48,254,8,16.1,356.6666667,0.356666667,7.58,4.46,4,15,5,374,433,102,11,2032
10177,3,1,48,254,8,18.8,356.6666667,0.356666667,7.58,4.46,4,5,5,374,433,102,11,2032
10337,5,2,39,460,8,19.7,1250,1.25,19.88,20.71,2,4,7,96,91,656,0,3680
10337,5,2,39,460,8,13.1,1250,1.25,19.88,20.71,2,15,7,96,91,656,0,3680
10400,2,2,40,175,9,14.2,943.75,0.94375,12.38819176,13.37575637,5,6,4,514,520,858,6,1575
10400,2,2,40,175,9,1.9,943.75,0.94375,12.38819176,13.37575637,5,9,4,514,520,858,6,1575
10400,2,2,40,175,9,16.7,943.75,0.94375,12.38819176,13.37575637,5,7,4,514,520,858,6,1575
10400,2,2,40,175,9,22.4,943.75,0.94375,12.38819176,13.37575637,5,1,4,514,520,858,6,1575
10400,2,2,40,175,9,18.3,943.75,0.94375,12.38819176,13.37575637,5,15,4,514,520,858,6,1575
10459,4,1,70,745,7,23,862.5,0.8625,16.94,18.06,4,6,11,83,146,782,1,5215
10459,4,1,70,745,7,2.5,862.5,0.8625,16.94,18.06,4,16,11,83,146,782,1,5215
10459,4,1,70,745,7,4.4,862.5,0.8625,16.94,18.06,4,13,11,83,146,782,1,5215
10459,4,1,70,745,7,2.8,862.5,0.8625,16.94,18.06,4,9,11,83,146,782,1,5215
10486,2,0,38,718,10,5.2,121.25,0.12125,8.09,6.3,5,10,0,14,16,432,7,7180
10486,2,0,38,718,10,17.6,121.25,0.12125,8.09,6.3,5,8,0,14,16,432,7,7180
